Record_ID,Date,Station_Name,Region,Latitude,Longitude,Reef_Zone,Depth_m,SST_degC,SST_Anomaly_degC,DHW_degC_weeks,pH_total,Aragonite_Saturation_Omega,Turbidity_NTU,PAR_umol_m2_s,Live_Coral_Cover_Pct,Macroalgae_Cover_Pct,Structural_Rugosity,Shannon_Diversity_H,Bleaching_Severity_Pct,Coral_Cover_Loss_Pct,Bleaching_Risk,Data_Source_Type,Scientific_Attribution
1,2015-01-18,Mesoamerican_Fore_01,Caribbean,18.26127,-87.80952,Fore Reef,12.13,26.2,-0.03,0.0,8.112,3.88,0.71,1124.5,28.49,45.16,2.56,2.69,3.51,0.0,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
2,2015-01-27,Mesoamerican_Fore_01,Caribbean,18.23833,-87.79597,Fore Reef,12.0,26.48,0.1,0.0,8.099,3.87,0.37,1191.1,26.9,41.2,2.52,2.64,2.33,5.75,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
3,2015-01-30,Mesoamerican_Fore_01,Caribbean,18.23608,-87.80316,Fore Reef,12.13,26.36,-0.07,0.0,8.104,3.88,0.32,1233.4,27.31,33.84,2.49,2.6,8.06,10.89,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
4,2015-01-31,Mesoamerican_Fore_01,Caribbean,18.25564,-87.80774,Fore Reef,12.84,26.49,0.03,0.0,8.089,3.64,0.57,1259.2,28.86,48.65,2.51,2.63,8.09,7.23,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
5,2015-02-02,Mesoamerican_Fore_01,Caribbean,18.24302,-87.80841,Fore Reef,12.86,26.54,0.04,0.0,8.097,3.7,1.15,1242.5,26.36,42.26,2.51,2.62,2.6,7.68,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
6,2015-02-03,Mesoamerican_Fore_01,Caribbean,18.25212,-87.79796,Fore Reef,12.55,26.33,-0.19,0.0,8.1,3.72,0.36,1179.1,28.87,35.08,2.56,2.69,1.42,0.0,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
7,2015-02-14,Mesoamerican_Fore_01,Caribbean,18.2531,-87.8008,Fore Reef,12.67,26.87,0.09,0.0,8.107,3.81,1.12,1261.3,28.1,28.47,2.53,2.65,4.32,4.56,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
8,2015-02-15,Mesoamerican_Fore_01,Caribbean,18.26188,-87.78958,Fore Reef,12.28,26.84,0.04,0.0,8.092,3.79,0.69,1384.9,25.9,38.61,2.51,2.62,7.35,8.38,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
9,2015-02-21,Mesoamerican_Fore_01,Caribbean,18.2557,-87.7943,Fore Reef,12.5,26.97,0.01,0.0,8.097,3.74,0.23,1370.4,29.16,49.33,2.51,2.63,7.91,7.37,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
10,2015-02-22,Mesoamerican_Fore_01,Caribbean,18.24876,-87.79817,Fore Reef,12.48,26.57,-0.42,0.0,8.08,3.64,0.45,1408.2,29.0,46.49,2.52,2.63,7.43,6.93,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
11,2015-02-28,Mesoamerican_Fore_01,Caribbean,18.26359,-87.79932,Fore Reef,12.46,27.24,0.08,0.0,8.1,3.73,0.58,1378.0,30.01,39.83,2.52,2.64,7.49,5.72,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
