Record_ID,Latitude,Longitude,Reef_Zone,Depth_m,Structural_Rugosity,Live_Coral_Cover_Pct,Macroalgae_Cover_Pct,Scientific_Attribution
1,18.26127,-87.80952,Fore Reef,12.13,2.56,28.49,45.16,Resultado obtenido mediante prototipo computacional del gemelo digital
2,18.23833,-87.79597,Fore Reef,12.0,2.52,26.9,41.2,Resultado obtenido mediante prototipo computacional del gemelo digital
3,18.23608,-87.80316,Fore Reef,12.13,2.49,27.31,33.84,Resultado obtenido mediante prototipo computacional del gemelo digital
4,18.25564,-87.80774,Fore Reef,12.84,2.51,28.86,48.65,Resultado obtenido mediante prototipo computacional del gemelo digital
5,18.24302,-87.80841,Fore Reef,12.86,2.51,26.36,42.26,Resultado obtenido mediante prototipo computacional del gemelo digital
6,18.25212,-87.79796,Fore Reef,12.55,2.56,28.87,35.08,Resultado obtenido mediante prototipo computacional del gemelo digital
7,18.2531,-87.8008,Fore Reef,12.67,2.53,28.1,28.47,Resultado obtenido mediante prototipo computacional del gemelo digital
8,18.26188,-87.78958,Fore Reef,12.28,2.51,25.9,38.61,Resultado obtenido mediante prototipo computacional del gemelo digital
9,18.2557,-87.7943,Fore Reef,12.5,2.51,29.16,49.33,Resultado obtenido mediante prototipo computacional del gemelo digital
10,18.24876,-87.79817,Fore Reef,12.48,2.52,29.0,46.49,Resultado obtenido mediante prototipo computacional del gemelo digital
11,18.26359,-87.79932,Fore Reef,12.46,2.52,30.01,39.83,Resultado obtenido mediante prototipo computacional del gemelo digital
12,18.24875,-87.79156,Fore Reef,12.76,2.55,29.07,45.13,Resultado obtenido mediante prototipo computacional del gemelo digital
13,18.24237,-87.80292,Fore Reef,12.0,2.48,26.57,47.08,Resultado obtenido mediante prototipo computacional del gemelo digital
14,18.24659,-87.79778,Fore Reef,12.85,2.51,25.25,29.94,Resultado obtenido mediante prototipo computacional del gemelo digital
15,18.23931,-87.8021,Fore Reef,12.85,2.54,26.67,32.34,Resultado obtenido mediante prototipo computacional del gemelo digital
16,18.24593,-87.80614,Fore Reef,12.46,2.55,27.87,36.23,Resultado obtenido mediante prototipo computacional del gemelo digital
17,18.25271,-87.81316,Fore Reef,12.72,2.5,24.13,42.57,Resultado obtenido mediante prototipo computacional del gemelo digital
18,18.25777,-87.79671,Fore Reef,12.82,2.51,28.66,40.94,Resultado obtenido mediante prototipo computacional del gemelo digital
19,18.23562,-87.80693,Fore Reef,12.27,2.54,25.49,35.67,Resultado obtenido mediante prototipo computacional del gemelo digital
20,18.24846,-87.81023,Fore Reef,12.1,2.54,28.16,27.53,Resultado obtenido mediante prototipo computacional del gemelo digital
21,18.25148,-87.80564,Fore Reef,12.51,2.51,28.47,40.65,Resultado obtenido mediante prototipo computacional del gemelo digital
22,18.25619,-87.79897,Fore Reef,12.43,2.5,25.74,41.74,Resultado obtenido mediante prototipo computacional del gemelo digital
23,18.24439,-87.78694,Fore Reef,12.98,2.49,28.26,49.97,Resultado obtenido mediante prototipo computacional del gemelo digital
24,18.24568,-87.81248,Fore Reef,12.68,2.49,27.83,45.99,Resultado obtenido mediante prototipo computacional del gemelo digital
25,18.23809,-87.79857,Fore Reef,12.56,2.49,26.24,29.33,Resultado obtenido mediante prototipo computacional del gemelo digital
26,18.23932,-87.79714,Fore Reef,12.93,2.48,28.99,33.76,Resultado obtenido mediante prototipo computacional del gemelo digital
27,18.25516,-87.79749,Fore Reef,12.25,2.46,23.7,45.04,Resultado obtenido mediante prototipo computacional del gemelo digital
