Record_ID,Date,Station_Name,Depth_m,pH_total,Aragonite_Saturation_Omega,Shannon_Diversity_H,Bleaching_Severity_Pct,Scientific_Attribution
1,2015-01-18,Mesoamerican_Fore_01,12.13,8.112,3.88,2.69,3.51,Resultado obtenido mediante prototipo computacional del gemelo digital
2,2015-01-27,Mesoamerican_Fore_01,12.0,8.099,3.87,2.64,2.33,Resultado obtenido mediante prototipo computacional del gemelo digital
3,2015-01-30,Mesoamerican_Fore_01,12.13,8.104,3.88,2.6,8.06,Resultado obtenido mediante prototipo computacional del gemelo digital
4,2015-01-31,Mesoamerican_Fore_01,12.84,8.089,3.64,2.63,8.09,Resultado obtenido mediante prototipo computacional del gemelo digital
5,2015-02-02,Mesoamerican_Fore_01,12.86,8.097,3.7,2.62,2.6,Resultado obtenido mediante prototipo computacional del gemelo digital
6,2015-02-03,Mesoamerican_Fore_01,12.55,8.1,3.72,2.69,1.42,Resultado obtenido mediante prototipo computacional del gemelo digital
7,2015-02-14,Mesoamerican_Fore_01,12.67,8.107,3.81,2.65,4.32,Resultado obtenido mediante prototipo computacional del gemelo digital
8,2015-02-15,Mesoamerican_Fore_01,12.28,8.092,3.79,2.62,7.35,Resultado obtenido mediante prototipo computacional del gemelo digital
9,2015-02-21,Mesoamerican_Fore_01,12.5,8.097,3.74,2.63,7.91,Resultado obtenido mediante prototipo computacional del gemelo digital
10,2015-02-22,Mesoamerican_Fore_01,12.48,8.08,3.64,2.63,7.43,Resultado obtenido mediante prototipo computacional del gemelo digital
11,2015-02-28,Mesoamerican_Fore_01,12.46,8.1,3.73,2.64,7.49,Resultado obtenido mediante prototipo computacional del gemelo digital
12,2015-03-05,Mesoamerican_Fore_01,12.76,8.115,3.87,2.67,5.54,Resultado obtenido mediante prototipo computacional del gemelo digital
13,2015-03-12,Mesoamerican_Fore_01,12.0,8.104,3.7,2.59,8.17,Resultado obtenido mediante prototipo computacional del gemelo digital
14,2015-03-18,Mesoamerican_Fore_01,12.85,8.041,3.22,2.62,6.3,Resultado obtenido mediante prototipo computacional del gemelo digital
15,2015-03-22,Mesoamerican_Fore_01,12.85,8.091,3.57,2.66,13.48,Resultado obtenido mediante prototipo computacional del gemelo digital
16,2015-04-04,Mesoamerican_Fore_01,12.46,8.06,3.38,2.67,4.55,Resultado obtenido mediante prototipo computacional del gemelo digital
17,2015-04-13,Mesoamerican_Fore_01,12.72,8.098,3.5,2.61,7.44,Resultado obtenido mediante prototipo computacional del gemelo digital
18,2015-04-20,Mesoamerican_Fore_01,12.82,8.059,3.42,2.63,5.36,Resultado obtenido mediante prototipo computacional del gemelo digital
19,2015-05-01,Mesoamerican_Fore_01,12.27,8.05,3.23,2.66,10.12,Resultado obtenido mediante prototipo computacional del gemelo digital
20,2015-05-05,Mesoamerican_Fore_01,12.1,8.112,3.72,2.65,9.25,Resultado obtenido mediante prototipo computacional del gemelo digital
21,2015-05-15,Mesoamerican_Fore_01,12.51,8.068,3.37,2.63,5.35,Resultado obtenido mediante prototipo computacional del gemelo digital
22,2015-05-20,Mesoamerican_Fore_01,12.43,8.055,3.27,2.61,11.31,Resultado obtenido mediante prototipo computacional del gemelo digital
23,2015-05-25,Mesoamerican_Fore_01,12.98,8.022,3.11,2.6,13.74,Resultado obtenido mediante prototipo computacional del gemelo digital
24,2015-05-30,Mesoamerican_Fore_01,12.68,8.078,3.4,2.6,11.89,Resultado obtenido mediante prototipo computacional del gemelo digital
25,2015-06-02,Mesoamerican_Fore_01,12.56,8.058,3.29,2.59,14.69,Resultado obtenido mediante prototipo computacional del gemelo digital
26,2015-06-07,Mesoamerican_Fore_01,12.93,8.032,3.11,2.59,11.5,Resultado obtenido mediante prototipo computacional del gemelo digital
27,2015-06-16,Mesoamerican_Fore_01,12.25,8.044,3.18,2.56,14.06,Resultado obtenido mediante prototipo computacional del gemelo digital
28,2015-06-20,Mesoamerican_Fore_01,12.74,8.039,3.12,2.59,15.1,Resultado obtenido mediante prototipo computacional del gemelo digital
29,2015-06-24,Mesoamerican_Fore_01,12.7,8.034,3.11,2.69,11.32,Resultado obtenido mediante prototipo computacional del gemelo digital
30,2015-06-28,Mesoamerican_Fore_01,12.38,8.034,3.15,2.65,3.81,Resultado obtenido mediante prototipo computacional del gemelo digital
31,2015-06-29,Mesoamerican_Fore_01,12.04,8.063,3.38,2.58,14.52,Resultado obtenido mediante prototipo computacional del gemelo digital
32,2015-07-03,Mesoamerican_Fore_01,12.59,8.087,3.57,2.64,8.6,Resultado obtenido mediante prototipo computacional del gemelo digital
33,2015-07-04,Mesoamerican_Fore_01,12.45,8.013,3.01,2.57,10.34,Resultado obtenido mediante prototipo computacional del gemelo digital
34,2015-07-08,Mesoamerican_Fore_01,12.23,8.075,3.47,2.61,9.39,Resultado obtenido mediante prototipo computacional del gemelo digital
35,2015-07-12,Mesoamerican_Fore_01,12.41,8.052,3.25,2.64,10.03,Resultado obtenido mediante prototipo computacional del gemelo digital
36,2015-07-14,Mesoamerican_Fore_01,12.12,8.092,3.64,2.62,8.94,Resultado obtenido mediante prototipo computacional del gemelo digital
37,2015-07-16,Mesoamerican_Fore_01,12.87,8.094,3.51,2.61,5.31,Resultado obtenido mediante prototipo computacional del gemelo digital
38,2015-07-23,Mesoamerican_Fore_01,12.51,8.099,3.58,2.63,8.29,Resultado obtenido mediante prototipo computacional del gemelo digital
39,2015-07-31,Mesoamerican_Fore_01,12.75,8.054,3.33,2.61,14.09,Resultado obtenido mediante prototipo computacional del gemelo digital
40,2015-08-03,Mesoamerican_Fore_01,12.28,8.059,3.31,2.64,9.26,Resultado obtenido mediante prototipo computacional del gemelo digital
41,2015-08-18,Mesoamerican_Fore_01,12.37,8.071,3.46,2.69,0.0,Resultado obtenido mediante prototipo computacional del gemelo digital
42,2015-08-27,Mesoamerican_Fore_01,12.68,8.064,3.46,2.66,2.96,Resultado obtenido mediante prototipo computacional del gemelo digital
43,2015-08-28,Mesoamerican_Fore_01,12.31,8.051,3.25,2.69,5.27,Resultado obtenido mediante prototipo computacional del gemelo digital
44,2015-08-29,Mesoamerican_Fore_01,12.43,8.054,3.26,2.55,11.23,Resultado obtenido mediante prototipo computacional del gemelo digital
45,2015-09-09,Mesoamerican_Fore_01,12.46,8.12,3.75,2.59,10.63,Resultado obtenido mediante prototipo computacional del gemelo digital
46,2015-09-14,Mesoamerican_Fore_01,12.51,8.092,3.61,2.63,6.18,Resultado obtenido mediante prototipo computacional del gemelo digital
47,2015-09-15,Mesoamerican_Fore_01,12.01,8.112,3.79,2.69,2.35,Resultado obtenido mediante prototipo computacional del gemelo digital
48,2015-09-21,Mesoamerican_Fore_01,12.73,8.071,3.44,2.65,6.62,Resultado obtenido mediante prototipo computacional del gemelo digital
49,2015-09-24,Mesoamerican_Fore_01,12.94,8.092,3.71,2.69,0.97,Resultado obtenido mediante prototipo computacional del gemelo digital
50,2015-09-28,Mesoamerican_Fore_01,12.81,8.081,3.61,2.63,8.63,Resultado obtenido mediante prototipo computacional del gemelo digital
51,2015-10-07,Mesoamerican_Fore_01,12.58,8.083,3.55,2.69,5.54,Resultado obtenido mediante prototipo computacional del gemelo digital
52,2015-10-17,Mesoamerican_Fore_01,12.5,8.078,3.6,2.65,4.71,Resultado obtenido mediante prototipo computacional del gemelo digital
53,2015-10-19,Mesoamerican_Fore_01,12.35,8.071,3.61,2.68,3.77,Resultado obtenido mediante prototipo computacional del gemelo digital
54,2015-10-23,Mesoamerican_Fore_01,12.53,8.12,3.82,2.62,4.11,Resultado obtenido mediante prototipo computacional del gemelo digital
55,2015-10-26,Mesoamerican_Fore_01,12.17,8.107,3.76,2.58,8.6,Resultado obtenido mediante prototipo computacional del gemelo digital
56,2015-10-27,Mesoamerican_Fore_01,12.13,8.103,3.79,2.69,1.31,Resultado obtenido mediante prototipo computacional del gemelo digital
57,2015-11-06,Mesoamerican_Fore_01,12.9,8.102,3.79,2.59,9.13,Resultado obtenido mediante prototipo computacional del gemelo digital
58,2015-11-11,Mesoamerican_Fore_01,12.85,8.099,3.83,2.65,6.77,Resultado obtenido mediante prototipo computacional del gemelo digital
59,2015-11-12,Mesoamerican_Fore_01,12.03,8.114,3.86,2.64,9.68,Resultado obtenido mediante prototipo computacional del gemelo digital
60,2015-11-18,Mesoamerican_Fore_01,12.24,8.146,4.23,2.66,3.28,Resultado obtenido mediante prototipo computacional del gemelo digital
61,2015-11-19,Mesoamerican_Fore_01,12.76,8.103,3.84,2.6,5.6,Resultado obtenido mediante prototipo computacional del gemelo digital
62,2015-11-22,Mesoamerican_Fore_01,12.22,8.074,3.63,2.67,6.95,Resultado obtenido mediante prototipo computacional del gemelo digital
63,2015-11-29,Mesoamerican_Fore_01,12.32,8.132,4.03,2.58,12.01,Resultado obtenido mediante prototipo computacional del gemelo digital
64,2015-12-13,Mesoamerican_Fore_01,12.62,8.089,3.72,2.69,1.0,Resultado obtenido mediante prototipo computacional del gemelo digital
65,2015-12-18,Mesoamerican_Fore_01,12.85,8.059,3.51,2.57,7.67,Resultado obtenido mediante prototipo computacional del gemelo digital
66,2015-12-21,Mesoamerican_Fore_01,12.06,8.108,3.89,2.67,8.11,Resultado obtenido mediante prototipo computacional del gemelo digital
67,2015-12-25,Mesoamerican_Fore_01,12.3,8.079,3.7,2.63,9.3,Resultado obtenido mediante prototipo computacional del gemelo digital
68,2016-01-02,Mesoamerican_Fore_01,12.63,8.135,4.05,2.65,3.91,Resultado obtenido mediante prototipo computacional del gemelo digital
69,2016-01-04,Mesoamerican_Fore_01,12.78,8.066,3.49,2.61,6.32,Resultado obtenido mediante prototipo computacional del gemelo digital
70,2016-01-23,Mesoamerican_Fore_01,12.75,8.086,3.62,2.64,6.59,Resultado obtenido mediante prototipo computacional del gemelo digital
71,2016-01-29,Mesoamerican_Fore_01,12.08,8.08,3.53,2.67,1.38,Resultado obtenido mediante prototipo computacional del gemelo digital
72,2016-02-07,Mesoamerican_Fore_01,12.78,8.081,3.64,2.62,4.66,Resultado obtenido mediante prototipo computacional del gemelo digital
73,2016-02-13,Mesoamerican_Fore_01,12.24,8.077,3.58,2.69,2.07,Resultado obtenido mediante prototipo computacional del gemelo digital
