Record_ID,Date,Latitude,Longitude,Turbidity_NTU,PAR_umol_m2_s,B2_Blue_Reflectance,B3_Green_Reflectance,B4_Red_Reflectance,B8_NIR_Reflectance,Kd_490_m_inv,Scientific_Attribution
1,2015-01-18,18.26127,-87.80952,0.71,1124.5,0.0405,0.0685,0.0217,0.0036,0.067,Resultado obtenido mediante prototipo computacional del gemelo digital
2,2015-01-27,18.23833,-87.79597,0.37,1191.1,0.0419,0.0577,0.0204,0.0024,0.052,Resultado obtenido mediante prototipo computacional del gemelo digital
3,2015-01-30,18.23608,-87.80316,0.32,1233.4,0.0466,0.0607,0.0196,0.0033,0.049,Resultado obtenido mediante prototipo computacional del gemelo digital
4,2015-01-31,18.25564,-87.80774,0.57,1259.2,0.0475,0.0628,0.0248,0.0039,0.061,Resultado obtenido mediante prototipo computacional del gemelo digital
5,2015-02-02,18.24302,-87.80841,1.15,1242.5,0.0451,0.0606,0.0201,0.0038,0.087,Resultado obtenido mediante prototipo computacional del gemelo digital
6,2015-02-03,18.25212,-87.79796,0.36,1179.1,0.0426,0.068,0.0191,0.0028,0.051,Resultado obtenido mediante prototipo computacional del gemelo digital
7,2015-02-14,18.2531,-87.8008,1.12,1261.3,0.0492,0.0568,0.0208,0.0024,0.085,Resultado obtenido mediante prototipo computacional del gemelo digital
8,2015-02-15,18.26188,-87.78958,0.69,1384.9,0.0482,0.0592,0.0219,0.0037,0.066,Resultado obtenido mediante prototipo computacional del gemelo digital
9,2015-02-21,18.2557,-87.7943,0.23,1370.4,0.0441,0.0607,0.0248,0.0034,0.045,Resultado obtenido mediante prototipo computacional del gemelo digital
10,2015-02-22,18.24876,-87.79817,0.45,1408.2,0.0488,0.0693,0.0185,0.0021,0.055,Resultado obtenido mediante prototipo computacional del gemelo digital
11,2015-02-28,18.26359,-87.79932,0.58,1378.0,0.0424,0.0671,0.0197,0.0023,0.061,Resultado obtenido mediante prototipo computacional del gemelo digital
12,2015-03-05,18.24875,-87.79156,0.46,1512.6,0.0409,0.0617,0.0246,0.0036,0.056,Resultado obtenido mediante prototipo computacional del gemelo digital
13,2015-03-12,18.24237,-87.80292,1.2,1456.1,0.0465,0.059,0.0218,0.0022,0.089,Resultado obtenido mediante prototipo computacional del gemelo digital
14,2015-03-18,18.24659,-87.79778,0.61,1548.2,0.0459,0.07,0.0195,0.0039,0.062,Resultado obtenido mediante prototipo computacional del gemelo digital
15,2015-03-22,18.23931,-87.8021,0.84,1595.9,0.0413,0.0698,0.0202,0.0032,0.073,Resultado obtenido mediante prototipo computacional del gemelo digital
16,2015-04-04,18.24593,-87.80614,1.0,1610.3,0.0413,0.0628,0.0228,0.004,0.08,Resultado obtenido mediante prototipo computacional del gemelo digital
17,2015-04-13,18.25271,-87.81316,1.19,1718.4,0.0422,0.0623,0.0179,0.0031,0.089,Resultado obtenido mediante prototipo computacional del gemelo digital
18,2015-04-20,18.25777,-87.79671,0.45,1741.1,0.0445,0.0637,0.0204,0.002,0.055,Resultado obtenido mediante prototipo computacional del gemelo digital
19,2015-05-01,18.23562,-87.80693,0.36,1765.6,0.0486,0.0655,0.02,0.0032,0.051,Resultado obtenido mediante prototipo computacional del gemelo digital
20,2015-05-05,18.24846,-87.81023,0.72,1895.0,0.0474,0.0621,0.0184,0.0021,0.067,Resultado obtenido mediante prototipo computacional del gemelo digital
21,2015-05-15,18.25148,-87.80564,0.98,1870.5,0.0464,0.0558,0.0219,0.0038,0.079,Resultado obtenido mediante prototipo computacional del gemelo digital
22,2015-05-20,18.25619,-87.79897,0.63,1916.8,0.0498,0.0629,0.0211,0.0038,0.063,Resultado obtenido mediante prototipo computacional del gemelo digital
23,2015-05-25,18.24439,-87.78694,0.6,1795.8,0.0444,0.0643,0.0173,0.0034,0.062,Resultado obtenido mediante prototipo computacional del gemelo digital
24,2015-05-30,18.24568,-87.81248,0.37,1877.8,0.0429,0.0638,0.0196,0.0033,0.052,Resultado obtenido mediante prototipo computacional del gemelo digital
25,2015-06-02,18.23809,-87.79857,0.65,1894.2,0.0446,0.0586,0.0175,0.0022,0.064,Resultado obtenido mediante prototipo computacional del gemelo digital
26,2015-06-07,18.23932,-87.79714,0.52,1958.8,0.0491,0.0676,0.0235,0.0022,0.058,Resultado obtenido mediante prototipo computacional del gemelo digital
27,2015-06-16,18.25516,-87.79749,0.47,1931.1,0.0465,0.0595,0.023,0.003,0.056,Resultado obtenido mediante prototipo computacional del gemelo digital
28,2015-06-20,18.24161,-87.79323,1.32,1745.8,0.0479,0.0566,0.0193,0.003,0.094,Resultado obtenido mediante prototipo computacional del gemelo digital
29,2015-06-24,18.24188,-87.79859,1.13,1825.3,0.048,0.0568,0.0212,0.0039,0.086,Resultado obtenido mediante prototipo computacional del gemelo digital
30,2015-06-28,18.24617,-87.80501,0.42,1782.2,0.0401,0.069,0.0221,0.0039,0.054,Resultado obtenido mediante prototipo computacional del gemelo digital
31,2015-06-29,18.26096,-87.78754,0.11,1821.9,0.0472,0.0659,0.024,0.0023,0.04,Resultado obtenido mediante prototipo computacional del gemelo digital
32,2015-07-03,18.25855,-87.79703,0.7,1741.7,0.042,0.0671,0.02,0.0022,0.066,Resultado obtenido mediante prototipo computacional del gemelo digital
33,2015-07-04,18.2574,-87.79338,0.25,1813.7,0.0423,0.064,0.0177,0.0021,0.046,Resultado obtenido mediante prototipo computacional del gemelo digital
34,2015-07-08,18.25397,-87.80379,0.26,1802.5,0.0417,0.0557,0.0178,0.0035,0.047,Resultado obtenido mediante prototipo computacional del gemelo digital
35,2015-07-12,18.2354,-87.80612,1.04,1756.7,0.0453,0.06,0.0197,0.0038,0.082,Resultado obtenido mediante prototipo computacional del gemelo digital
36,2015-07-14,18.24743,-87.79303,0.36,1835.9,0.0455,0.0553,0.0219,0.0026,0.051,Resultado obtenido mediante prototipo computacional del gemelo digital
37,2015-07-16,18.26459,-87.80256,0.23,1716.9,0.0415,0.0649,0.018,0.0037,0.045,Resultado obtenido mediante prototipo computacional del gemelo digital
38,2015-07-23,18.26299,-87.80183,0.22,1699.5,0.0448,0.0674,0.021,0.0033,0.045,Resultado obtenido mediante prototipo computacional del gemelo digital
39,2015-07-31,18.26145,-87.79306,1.25,1574.7,0.0423,0.0648,0.0242,0.003,0.091,Resultado obtenido mediante prototipo computacional del gemelo digital
40,2015-08-03,18.24729,-87.79557,0.3,1708.8,0.048,0.0594,0.0249,0.0021,0.048,Resultado obtenido mediante prototipo computacional del gemelo digital
41,2015-08-18,18.25325,-87.7938,1.14,1535.1,0.0495,0.056,0.02,0.0036,0.086,Resultado obtenido mediante prototipo computacional del gemelo digital
42,2015-08-27,18.25144,-87.79937,0.37,1533.5,0.0496,0.0593,0.0171,0.0031,0.052,Resultado obtenido mediante prototipo computacional del gemelo digital
43,2015-08-28,18.26058,-87.79875,1.23,1390.6,0.0418,0.0698,0.0216,0.0021,0.09,Resultado obtenido mediante prototipo computacional del gemelo digital
44,2015-08-29,18.24832,-87.80148,0.66,1480.1,0.0417,0.066,0.025,0.0035,0.065,Resultado obtenido mediante prototipo computacional del gemelo digital
45,2015-09-09,18.23689,-87.7917,0.85,1332.0,0.0428,0.0617,0.0235,0.0031,0.073,Resultado obtenido mediante prototipo computacional del gemelo digital
46,2015-09-14,18.25851,-87.80213,0.16,1379.2,0.0493,0.0659,0.0235,0.0024,0.042,Resultado obtenido mediante prototipo computacional del gemelo digital
47,2015-09-15,18.26175,-87.78952,0.38,1437.7,0.044,0.0606,0.021,0.0035,0.052,Resultado obtenido mediante prototipo computacional del gemelo digital
48,2015-09-21,18.24672,-87.81292,1.09,1228.9,0.0406,0.0591,0.0178,0.002,0.084,Resultado obtenido mediante prototipo computacional del gemelo digital
49,2015-09-24,18.24982,-87.78917,0.59,1309.8,0.0462,0.0582,0.0247,0.003,0.062,Resultado obtenido mediante prototipo computacional del gemelo digital
50,2015-09-28,18.23709,-87.79836,0.39,1231.6,0.0404,0.0664,0.0215,0.0035,0.053,Resultado obtenido mediante prototipo computacional del gemelo digital
51,2015-10-07,18.25417,-87.78639,0.58,1134.3,0.044,0.0632,0.0197,0.0026,0.061,Resultado obtenido mediante prototipo computacional del gemelo digital
52,2015-10-17,18.24239,-87.79428,0.37,1118.4,0.0431,0.0697,0.0202,0.004,0.052,Resultado obtenido mediante prototipo computacional del gemelo digital
53,2015-10-19,18.26322,-87.79172,0.61,1094.4,0.0485,0.061,0.0198,0.0036,0.062,Resultado obtenido mediante prototipo computacional del gemelo digital
54,2015-10-23,18.26327,-87.81276,0.4,1107.4,0.047,0.0609,0.0229,0.0032,0.053,Resultado obtenido mediante prototipo computacional del gemelo digital
55,2015-10-26,18.24411,-87.80565,0.36,1117.1,0.0429,0.0657,0.0209,0.0032,0.051,Resultado obtenido mediante prototipo computacional del gemelo digital
56,2015-10-27,18.25493,-87.80902,1.42,973.4,0.0405,0.0628,0.0183,0.0027,0.099,Resultado obtenido mediante prototipo computacional del gemelo digital
57,2015-11-06,18.25596,-87.80252,1.93,930.9,0.0431,0.0646,0.0219,0.0022,0.122,Resultado obtenido mediante prototipo computacional del gemelo digital
58,2015-11-11,18.23895,-87.78936,0.55,1085.5,0.0411,0.0663,0.0183,0.0028,0.06,Resultado obtenido mediante prototipo computacional del gemelo digital
59,2015-11-12,18.2522,-87.80487,1.29,1057.1,0.0406,0.0541,0.017,0.0033,0.093,Resultado obtenido mediante prototipo computacional del gemelo digital
60,2015-11-18,18.25163,-87.80901,1.37,974.0,0.0422,0.0688,0.0229,0.0032,0.097,Resultado obtenido mediante prototipo computacional del gemelo digital
61,2015-11-19,18.25624,-87.80073,0.86,1019.3,0.0428,0.0699,0.0212,0.0025,0.074,Resultado obtenido mediante prototipo computacional del gemelo digital
62,2015-11-22,18.26489,-87.79112,0.38,1088.3,0.0426,0.0551,0.0228,0.0022,0.052,Resultado obtenido mediante prototipo computacional del gemelo digital
63,2015-11-29,18.26005,-87.78718,0.6,997.4,0.0488,0.0605,0.0232,0.0031,0.062,Resultado obtenido mediante prototipo computacional del gemelo digital
64,2015-12-13,18.2546,-87.80923,0.32,915.0,0.0452,0.0555,0.02,0.0034,0.049,Resultado obtenido mediante prototipo computacional del gemelo digital
65,2015-12-18,18.24334,-87.81073,0.42,1035.1,0.0428,0.0612,0.0209,0.0028,0.054,Resultado obtenido mediante prototipo computacional del gemelo digital
66,2015-12-21,18.2624,-87.80932,0.18,1010.4,0.0458,0.0699,0.0223,0.0021,0.043,Resultado obtenido mediante prototipo computacional del gemelo digital
