Year,Scenario_ID,Projected_DHW_degC_weeks,Projected_pH,Projected_Aragonite_Omega,Live_Coral_Cover_Pct,Macroalgae_Cover_Pct,Shannon_Diversity_H,Net_Calcification_kg_CaCO3_m2_yr,Scientific_Attribution
2025,Scenario_1_Severe_Thermal_Stress_SSP585,9.5,8.04,3.65,26.48,22.08,2.81,4.27,Resultado obtenido mediante prototipo computacional del gemelo digital
2026,Scenario_1_Severe_Thermal_Stress_SSP585,9.85,8.028,3.6,21.58,24.9,2.79,3.99,Resultado obtenido mediante prototipo computacional del gemelo digital
2027,Scenario_1_Severe_Thermal_Stress_SSP585,10.2,8.016,3.54,17.64,27.45,2.76,3.72,Resultado obtenido mediante prototipo computacional del gemelo digital
2028,Scenario_1_Severe_Thermal_Stress_SSP585,10.55,8.004,3.48,15.2,29.0,2.74,3.46,Resultado obtenido mediante prototipo computacional del gemelo digital
2029,Scenario_1_Severe_Thermal_Stress_SSP585,10.9,7.992,3.43,11.8,31.63,2.73,3.21,Resultado obtenido mediante prototipo computacional del gemelo digital
2030,Scenario_1_Severe_Thermal_Stress_SSP585,11.25,7.98,3.38,9.79,34.49,2.71,2.97,Resultado obtenido mediante prototipo computacional del gemelo digital
2031,Scenario_1_Severe_Thermal_Stress_SSP585,11.6,7.968,3.32,6.9,36.58,2.7,2.74,Resultado obtenido mediante prototipo computacional del gemelo digital
2032,Scenario_1_Severe_Thermal_Stress_SSP585,11.95,7.956,3.26,5.61,39.75,2.7,2.53,Resultado obtenido mediante prototipo computacional del gemelo digital
2033,Scenario_1_Severe_Thermal_Stress_SSP585,12.3,7.944,3.21,3.65,43.68,2.69,1.02,Resultado obtenido mediante prototipo computacional del gemelo digital
2034,Scenario_1_Severe_Thermal_Stress_SSP585,12.65,7.932,3.16,3.45,46.9,2.69,0.82,Resultado obtenido mediante prototipo computacional del gemelo digital
2035,Scenario_1_Severe_Thermal_Stress_SSP585,13.0,7.92,3.1,2.96,52.1,2.68,0.63,Resultado obtenido mediante prototipo computacional del gemelo digital
2036,Scenario_1_Severe_Thermal_Stress_SSP585,13.35,7.908,3.04,2.09,55.3,2.68,0.45,Resultado obtenido mediante prototipo computacional del gemelo digital
