Station_Name,Latitude,Longitude,Region,Reef_Zone,Depth_m,DHW_degC_weeks,pH_total,Turbidity_NTU,Live_Coral_Cover_Pct,Macroalgae_Cover_Pct,Structural_Rugosity,Bleaching_Severity_Pct,Coral_Cover_Loss_Pct,Thermal_Refugia_Score,Structural_Score,Water_Quality_Score,Spatial_Restoration_Priority_Index_SRPI,Priority_Tier
GreatBarrier_Central_14,-18.24989694,147.19970826000002,Indo-Pacific,Fore Reef,13.509360000000001,1.31878,8.085474,0.64416,36.91154,30.50002,3.0831999999999997,13.81836,11.2636,0.108,1.0,0.973,0.682,Tier_1_High_Priority_Restoration
CoralTriangle_RajaAmpat_16,-0.54963186,130.50022414,Indo-Pacific,Fore Reef,10.49838,1.0304,8.08554,0.6212799999999999,37.404379999999996,30.92324,2.7698400000000003,12.06534,9.8994,0.424,0.754,0.986,0.632,Tier_1_High_Priority_Restoration
RedSea_Aqaba_21,29.4501284,34.94976878,Red Sea,Fore Reef,15.5133,0.50314,8.125574,0.6173,35.00996,32.9238,2.4188400000000003,9.43202,7.90794,1.0,0.478,0.988,0.618,Tier_1_High_Priority_Restoration
CoralTriangle_Komodo_18,-8.59945414,119.55004292,Indo-Pacific,Fore Reef,15.98674,1.41796,8.08472,0.65814,39.95248,28.23886,2.9329,13.91928,11.11638,0.0,0.882,0.965,0.602,Tier_1_High_Priority_Restoration
Mesoamerican_Fore_01,18.25048112,-87.79946892,Caribbean,Fore Reef,12.501100000000001,0.78224,8.067312,0.60452,26.87082,40.75434,2.5036,11.07644,8.88464,0.695,0.545,0.995,0.601,Tier_1_High_Priority_Restoration
CoralTriangle_Misool_17,-1.9502812200000001,130.14993814,Indo-Pacific,Reef Crest,5.1822799999999996,1.12434,8.085386,0.6154400000000001,48.42886,20.059459999999998,2.43504,12.531979999999999,10.25228,0.321,0.491,0.989,0.557,Tier_1_High_Priority_Restoration
RedSea_Shallow_22,27.20034918,33.84937002,Red Sea,Reef Crest,3.99596,0.74242,8.125738,0.623,39.5771,27.35454,2.33214,10.288440000000001,8.5023,0.738,0.41,0.985,0.553,Tier_2_Secondary_Conservation
Hawaii_OahuFore_24,21.29961682,-157.69902984,Pacific,Fore Reef,11.18844,1.05054,8.054104,0.61558,34.73312,32.46432,2.22342,12.91028,10.31218,0.402,0.325,0.989,0.548,Tier_2_Secondary_Conservation
GreatBarrier_Northern_13,-14.4998426,145.45028820000002,Indo-Pacific,Fore Reef,11.01118,1.12008,8.089262,0.61098,42.6495,24.70478,2.3106199999999997,12.466899999999999,9.99282,0.326,0.393,0.992,0.515,Tier_2_Secondary_Conservation
Florida_Keys_Lowers_12,24.549916659999997,-81.45084678,Caribbean,Reef Crest,4.47938,1.1173199999999999,8.067334,0.6037,21.3882,45.99122,2.1794000000000002,12.652379999999999,10.176620000000002,0.329,0.29,0.996,0.504,Tier_2_Secondary_Conservation
Okinawa_Kerama_20,26.200020499999997,127.35005076,Indo-Pacific,Fore Reef,14.50384,1.3928399999999999,8.085492,0.63798,38.98274,28.1666,2.44924,13.47016,10.69384,0.027,0.502,0.976,0.487,Tier_2_Secondary_Conservation
CoralTriangle_Sulawesi_19,1.6506117999999999,124.75024996,Indo-Pacific,Fore Reef,11.99474,1.34826,8.085468,0.59612,45.01532,22.406779999999998,2.26786,13.53416,10.872440000000001,0.076,0.359,1.0,0.485,Tier_2_Secondary_Conservation
Cozumel_South_07,20.29943354,-87.01921328,Caribbean,Fore Reef,18.183580000000003,1.25374,8.066521999999999,0.6535599999999999,32.51136,35.11154,2.24148,13.28524,10.474620000000002,0.18,0.339,0.967,0.482,Tier_2_Secondary_Conservation
Roatan_North_09,16.379621999999998,-86.49974478,Caribbean,Fore Reef,13.970540000000002,1.23122,8.065904,0.6152799999999999,22.885900000000003,44.76294,2.0906599999999997,13.15674,10.48454,0.204,0.22,0.989,0.465,Tier_2_Secondary_Conservation
Mesoamerican_Crest_02,18.278946400000002,-87.81994206,Caribbean,Reef Crest,4.2235,1.17478,8.06753,0.6349600000000001,27.83468,39.973839999999996,1.9515,13.15306,10.525799999999998,0.266,0.111,0.978,0.461,Tier_2_Secondary_Conservation
Belize_Atoll_06,17.1994329,-87.55089264,Caribbean,Reef Crest,5.00138,1.16282,8.06486,0.61502,28.912959999999998,38.40344,1.94454,12.946219999999999,10.44446,0.279,0.105,0.989,0.46,Tier_3_Low_Monitoring
Florida_Keys_Uppers_11,25.01903402,-80.39926814,Caribbean,Fore Reef,9.5137,1.0877000000000001,8.065914,0.63234,34.84533999999999,32.58334,1.81034,12.63656,10.27224,0.361,0.0,0.979,0.448,Tier_3_Low_Monitoring
GreatBarrier_Lagoon_15,-18.299557659999998,147.14997742,Indo-Pacific,Lagoon,3.7794,1.4091,8.085528,2.35552,43.9167,23.183079999999997,2.98986,13.05858,10.7475,0.01,0.927,0.0,0.445,Tier_3_Low_Monitoring
Belize_Barrier_05,17.15061304,-87.90013598,Caribbean,Fore Reef,15.00078,1.31684,8.065568,0.6313799999999999,30.55164,36.698260000000005,1.85294,14.05306,11.29318,0.111,0.033,0.98,0.444,Tier_3_Low_Monitoring
Mesoamerican_Lagoon_04,18.35045122,-87.88012314,Caribbean,Lagoon,2.5068,1.2971199999999998,8.063448000000001,2.23138,23.92914,42.9036,2.46596,13.343860000000001,10.68754,0.132,0.515,0.071,0.391,Tier_3_Low_Monitoring
Hawaii_Kaneohe_23,21.45032442,-157.80033108,Pacific,Lagoon,3.50106,0.85726,8.05574,2.28674,24.199240000000003,43.38272,2.23938,11.14756,9.0328,0.613,0.337,0.039,0.388,Tier_3_Low_Monitoring
Roatan_South_10,16.31975796,-86.54983778,Caribbean,Back Reef,7.9981599999999995,1.21842,8.065716,2.263,28.4287,39.15906,2.03598,12.87476,10.71636,0.218,0.177,0.053,0.336,Tier_3_Low_Monitoring
Cozumel_Shallow_08,20.35089076,-86.9802023,Caribbean,Lagoon,3.09752,1.0360999999999998,8.0686,2.24358,21.25246,45.504160000000006,2.14958,11.6856,9.15652,0.417,0.267,0.064,0.314,Tier_3_Low_Monitoring
Mesoamerican_Back_03,18.30988378,-87.849817,Caribbean,Back Reef,6.789020000000001,0.9282999999999999,8.068252000000001,2.30538,21.20684,46.60442,1.91454,11.05806,8.93454,0.535,0.082,0.029,0.288,Tier_3_Low_Monitoring
