,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
Depth_m,12500.0,9.15,4.807,2.0,4.44,9.52,13.63,18.7,0.181,-1.372
SST_degC,12500.0,28.126,1.712,23.42,26.82,28.03,29.54,33.41,-0.008,-0.582
SST_Anomaly_degC,12500.0,0.343,0.682,-0.89,-0.03,0.17,0.39,3.6,2.184,4.614
DHW_degC_weeks,12500.0,1.131,3.913,0.0,0.0,0.0,0.22,21.5,3.89,14.104
pH_total,12500.0,8.077,0.033,7.952,8.055,8.077,8.099,8.2,0.161,0.036
Aragonite_Saturation_Omega,12500.0,3.524,0.288,2.66,3.31,3.51,3.71,4.35,0.285,-0.085
Turbidity_NTU,12500.0,1.085,1.056,0.1,0.39,0.7,1.4,9.08,2.156,6.029
PAR_umol_m2_s,12500.0,1399.985,325.354,560.7,1089.7,1398.3,1708.725,2006.5,0.003,-1.369
Live_Coral_Cover_Pct,12500.0,33.455,8.991,10.82,25.578,33.47,40.2,54.97,0.164,-0.943
Macroalgae_Cover_Pct,12500.0,34.038,11.426,5.0,25.818,34.315,42.192,65.75,-0.079,-0.54
Structural_Rugosity,12500.0,2.311,0.352,1.46,2.06,2.27,2.48,3.17,0.652,0.008
Shannon_Diversity_H,12500.0,2.694,0.411,1.61,2.36,2.61,3.04,3.6,0.145,-0.799
Bleaching_Severity_Pct,12500.0,12.536,21.02,0.0,4.76,7.45,10.512,100.0,3.535,11.186
Coral_Cover_Loss_Pct,12500.0,10.114,16.662,0.0,2.53,6.12,9.92,89.43,3.336,10.348
