Year,Scenario_ID,Coral_Cover_Median_Pct,Coral_Cover_CI_025,Coral_Cover_CI_975,Macroalgae_Cover_Median_Pct,Net_Calcification_Median,Scientific_Attribution
2025,Scenario_1_Severe_Thermal_Stress_SSP585,32.32,29.29,35.25,23.38,7.57,Resultado obtenido mediante prototipo computacional del gemelo digital
2026,Scenario_1_Severe_Thermal_Stress_SSP585,32.49,29.43,35.35,24.67,7.18,Resultado obtenido mediante prototipo computacional del gemelo digital
2027,Scenario_1_Severe_Thermal_Stress_SSP585,32.49,29.4,35.36,25.89,6.81,Resultado obtenido mediante prototipo computacional del gemelo digital
2028,Scenario_1_Severe_Thermal_Stress_SSP585,32.31,29.18,35.24,27.07,6.45,Resultado obtenido mediante prototipo computacional del gemelo digital
2029,Scenario_1_Severe_Thermal_Stress_SSP585,31.96,28.78,34.95,28.22,6.1,Resultado obtenido mediante prototipo computacional del gemelo digital
2030,Scenario_1_Severe_Thermal_Stress_SSP585,31.43,28.27,34.48,29.32,5.76,Resultado obtenido mediante prototipo computacional del gemelo digital
2031,Scenario_1_Severe_Thermal_Stress_SSP585,30.78,27.58,33.86,30.43,5.43,Resultado obtenido mediante prototipo computacional del gemelo digital
2032,Scenario_1_Severe_Thermal_Stress_SSP585,29.98,26.73,33.18,31.52,5.12,Resultado obtenido mediante prototipo computacional del gemelo digital
2033,Scenario_1_Severe_Thermal_Stress_SSP585,29.04,25.74,32.38,32.63,4.82,Resultado obtenido mediante prototipo computacional del gemelo digital
2034,Scenario_1_Severe_Thermal_Stress_SSP585,28.01,24.63,31.48,33.74,4.52,Resultado obtenido mediante prototipo computacional del gemelo digital
2035,Scenario_1_Severe_Thermal_Stress_SSP585,26.89,23.42,30.46,34.89,4.24,Resultado obtenido mediante prototipo computacional del gemelo digital
2036,Scenario_1_Severe_Thermal_Stress_SSP585,25.66,22.21,29.4,36.1,3.95,Resultado obtenido mediante prototipo computacional del gemelo digital
2037,Scenario_1_Severe_Thermal_Stress_SSP585,24.38,20.85,28.27,37.36,3.66,Resultado obtenido mediante prototipo computacional del gemelo digital
2038,Scenario_1_Severe_Thermal_Stress_SSP585,23.06,19.47,27.08,38.65,3.35,Resultado obtenido mediante prototipo computacional del gemelo digital
2039,Scenario_1_Severe_Thermal_Stress_SSP585,21.69,18.02,25.8,40.01,2.24,Resultado obtenido mediante prototipo computacional del gemelo digital
2040,Scenario_1_Severe_Thermal_Stress_SSP585,20.29,16.58,24.52,41.41,1.71,Resultado obtenido mediante prototipo computacional del gemelo digital
2041,Scenario_1_Severe_Thermal_Stress_SSP585,18.88,15.18,23.18,42.83,1.43,Resultado obtenido mediante prototipo computacional del gemelo digital
