,Depth_m,SST_degC,SST_Anomaly_degC,DHW_degC_weeks,pH_total,Aragonite_Saturation_Omega,Turbidity_NTU,PAR_umol_m2_s,Live_Coral_Cover_Pct,Macroalgae_Cover_Pct,Structural_Rugosity,Shannon_Diversity_H,Bleaching_Severity_Pct,Coral_Cover_Loss_Pct
Depth_m,1.0,0.069,0.001,0.005,0.067,0.033,-0.404,0.076,0.159,-0.114,0.173,0.236,0.011,0.01
SST_degC,0.069,1.0,0.49,0.489,-0.485,-0.696,-0.019,0.686,0.03,-0.024,0.004,0.052,0.489,0.476
SST_Anomaly_degC,0.001,0.49,1.0,0.746,-0.347,-0.414,0.006,-0.007,-0.205,0.157,-0.203,-0.243,0.719,0.706
DHW_degC_weeks,0.005,0.489,0.746,1.0,-0.32,-0.387,-0.0,0.124,-0.265,0.205,-0.257,-0.311,0.972,0.951
pH_total,0.067,-0.485,-0.347,-0.32,1.0,0.945,-0.088,-0.399,0.374,-0.288,0.287,0.403,-0.334,-0.321
Aragonite_Saturation_Omega,0.033,-0.696,-0.414,-0.387,0.945,1.0,-0.064,-0.533,0.283,-0.217,0.222,0.297,-0.4,-0.387
Turbidity_NTU,-0.404,-0.019,0.006,-0.0,-0.088,-0.064,1.0,-0.15,-0.151,0.112,-0.024,-0.153,-0.017,-0.017
PAR_umol_m2_s,0.076,0.686,-0.007,0.124,-0.399,-0.533,-0.15,1.0,-0.018,0.014,-0.027,-0.027,0.152,0.144
Live_Coral_Cover_Pct,0.159,0.03,-0.205,-0.265,0.374,0.283,-0.151,-0.018,1.0,-0.78,0.466,0.873,-0.278,-0.283
Macroalgae_Cover_Pct,-0.114,-0.024,0.157,0.205,-0.288,-0.217,0.112,0.014,-0.78,1.0,-0.359,-0.672,0.214,0.218
Structural_Rugosity,0.173,0.004,-0.203,-0.257,0.287,0.222,-0.024,-0.027,0.466,-0.359,1.0,0.651,-0.269,-0.274
Shannon_Diversity_H,0.236,0.052,-0.243,-0.311,0.403,0.297,-0.153,-0.027,0.873,-0.672,0.651,1.0,-0.325,-0.331
Bleaching_Severity_Pct,0.011,0.489,0.719,0.972,-0.334,-0.4,-0.017,0.152,-0.278,0.214,-0.269,-0.325,1.0,0.976
Coral_Cover_Loss_Pct,0.01,0.476,0.706,0.951,-0.321,-0.387,-0.017,0.144,-0.283,0.218,-0.274,-0.331,0.976,1.0
