,Depth_m,SST_degC,SST_Anomaly_degC,DHW_degC_weeks,pH_total,Aragonite_Saturation_Omega,Turbidity_NTU,PAR_umol_m2_s,Live_Coral_Cover_Pct,Macroalgae_Cover_Pct,Structural_Rugosity,Shannon_Diversity_H,Bleaching_Severity_Pct,Coral_Cover_Loss_Pct
Depth_m,1.0,0.078,0.001,0.004,0.078,0.034,-0.405,0.082,0.22,-0.152,0.137,0.302,0.044,0.031
SST_degC,0.078,1.0,0.369,0.765,-0.478,-0.702,-0.015,0.709,0.055,-0.047,0.0,0.074,0.446,0.342
SST_Anomaly_degC,0.001,0.369,1.0,0.427,-0.284,-0.337,0.021,-0.001,-0.11,0.087,-0.117,-0.125,0.197,0.198
DHW_degC_weeks,0.004,0.765,0.427,1.0,-0.493,-0.635,0.015,0.514,-0.135,0.102,-0.144,-0.153,0.441,0.364
pH_total,0.078,-0.478,-0.284,-0.493,1.0,0.936,-0.076,-0.41,0.376,-0.287,0.312,0.406,-0.358,-0.254
Aragonite_Saturation_Omega,0.034,-0.702,-0.337,-0.635,0.936,1.0,-0.05,-0.558,0.276,-0.209,0.244,0.291,-0.431,-0.314
Turbidity_NTU,-0.405,-0.015,0.021,0.015,-0.076,-0.05,1.0,-0.142,-0.165,0.119,-0.055,-0.156,-0.063,-0.045
PAR_umol_m2_s,0.082,0.709,-0.001,0.514,-0.41,-0.558,-0.142,1.0,-0.009,0.007,-0.023,-0.022,0.382,0.245
Live_Coral_Cover_Pct,0.22,0.055,-0.11,-0.135,0.376,0.276,-0.165,-0.009,1.0,-0.774,0.495,0.885,-0.153,-0.166
Macroalgae_Cover_Pct,-0.152,-0.047,0.087,0.102,-0.287,-0.209,0.119,0.007,-0.774,1.0,-0.375,-0.678,0.116,0.123
Structural_Rugosity,0.137,0.0,-0.117,-0.144,0.312,0.244,-0.055,-0.023,0.495,-0.375,1.0,0.629,-0.178,-0.2
Shannon_Diversity_H,0.302,0.074,-0.125,-0.153,0.406,0.291,-0.156,-0.022,0.885,-0.678,0.629,1.0,-0.182,-0.207
Bleaching_Severity_Pct,0.044,0.446,0.197,0.441,-0.358,-0.431,-0.063,0.382,-0.153,0.116,-0.178,-0.182,1.0,0.656
Coral_Cover_Loss_Pct,0.031,0.342,0.198,0.364,-0.254,-0.314,-0.045,0.245,-0.166,0.123,-0.2,-0.207,0.656,1.0
